"ID";"Určovatel";"Pouzdro";"Množství";"Určení";"Tisk rohového razítka";
1;"L1";"LQH2MCN100K02L";1;"LQH2MCN100K02L";;;
2;"D1";"D_SOD-123";1;"MBR0540";;;
3;"U1";"TSOT-23-6";1;"LT3483";;;
4;"C4";"C_0805_2012Metric";1;"5pF/50V";;;
5;"C2";"C_0805_2012Metric";1;"100nF/30V";;;
6;"C7,C6";"C_0805_2012Metric";2;"100nF";;;
7;"R3";"R_0805_2012Metric";1;"100R";;;
8;"R2";"R_0805_2012Metric";1;"3.24M";;;
9;"C1";"C_0805_2012Metric";1;"4.7uF/30V";;;
10;"C3";"C_0805_2012Metric";1;"0.1uF/50V";;;
11;"C5,C8";"C_0805_2012Metric";2;"1uF/50V";;;
12;"R1";"R_0805_2012Metric";1;"39.2R";;;
13;"MH1";"MountingHole_3mm_Pad";1;"M1";;;
14;"MH2";"MountingHole_3mm_Pad";1;"M2";;;
15;"MH3";"MountingHole_3mm_Pad";1;"M3";;;
16;"MH4";"MountingHole_3mm_Pad";1;"M4";;;
17;"J1";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
18;"J2";"PinHeader_2x04_P2.54mm_Vertical";1;"Conn_02x04_Odd_Even";;;
